Vintage,Country,Region,Wine,Quantity,Size,Peak Drinking Window,Classification,Wine Rating,Professional Critic Ratings,Wine Notes,Varietal,Alcohol Level,Flavour Profile,Recommended Service Temp
2020,France,Bordeaux,Domaine de Chevalier (Rouge),6,75cl,2030-2055,Grand Cru Classe de Graves,4,JS 96 : NM 95 : RP 95 : JA 95,"Exceptional Pessac-Leognan with incredible complexity and finesse. Dark fruit, graphite, smoke, truffles and spice interwoven with silky, polished tannins.",Cabernet Sauvignon : Merlot : Petit Verdot : Cabernet Franc,14%,Dark fruit : Graphite : Smoke : Truffle : Spice : Cedar,16-18°C
2020,France,Burgundy,Domaine Bitouzet-Prieur Volnay,6,75cl,2025-2035,Village,2,BH 90 : JR 16.5 : AG 90,"Charming village Volnay with red cherry, violet, spice and a touch of earth. Light-to-medium-bodied with silky tannins and fresh acidity.",Pinot Noir,13%,Red cherry : Violet : Spice : Earth : Strawberry : Mineral,15-17°C
2020,France,Burgundy,Domaine Latour-Giraud Meursault 1er Cru 'Boucheres',4,75cl,2026-2040,1er Cru,3,BH 92 : JR 17 : AG 92,"Richly textured Meursault with citrus, white peach, hazelnut and butter. Full-bodied with creamy mouthfeel and vibrant acidity providing excellent balance.",Chardonnay,13%,Citrus : White peach : Hazelnut : Butter : Mineral : Honey,10-12°C
2020,France,Burgundy,Domaine Latour-Giraud Meursault 1er Cru 'Les Genevrieres',6,75cl,2027-2042,1er Cru,4,BH 93 : JR 17.5 : AG 93,"Exquisite Genevrieres with concentrated citrus, white flower, hazelnut and mineral. Precise and focused with outstanding length and a saline, persistent finish.",Chardonnay,13%,Citrus : White flower : Hazelnut : Mineral : Saline : Butter,10-12°C
2020,France,Burgundy,Domaine Marc Morey & Fils Chassagne 1er Cru 'En Virondot',2,75cl,2026-2040,1er Cru,3,BH 92 : AG 91 : JR 17,"Elegant Chassagne 1er Cru white with citrus, white peach, almond and mineral. Medium-bodied with fresh acidity and a clean, focused finish.",Chardonnay,13%,Citrus : White peach : Almond : Mineral : Floral : Butter,10-12°C
2020,France,Burgundy,Domaine Marc Morey & Fils Chassagne 1er Cru 'Morgeot' (Rouge),6,75cl,2025-2038,1er Cru,3,BH 91 : AG 90 : JR 16.5,"A rare red Chassagne from the Morgeot climat with dark cherry, earth, spice and leather. Medium-bodied with firm tannins and a savoury character.",Pinot Noir,13%,Dark cherry : Earth : Spice : Leather : Iron : Herbs,15-17°C
2020,France,Burgundy,Domaine Rion Nuits-St-Georges 1er Cru 'Terres Blanches' (Blanc),6,75cl,2026-2038,1er Cru,3,BH 92 : JR 17 : AG 91,"Rare white Nuits-Saint-Georges 1er Cru with citrus, white peach, mineral and a distinctive chalky character. Fresh and precise with good complexity.",Chardonnay,13%,Citrus : White peach : Mineral : Chalk : Floral : Honey,10-12°C
2020,France,Burgundy,Domaine Robert Chevillon Nuits-St-Georges 1er Cru 'Les Chaignots',6,75cl,2027-2045,1er Cru,4,BH 93 : AG 93 : JR 17.5,"Superb Chaignots from a master of the appellation with dark fruit, spice, mineral and earthy depth. Structured with firm tannins and outstanding ageing potential.",Pinot Noir,13%,Dark fruit : Spice : Mineral : Earth : Leather : Iron,15-17°C
2020,France,Burgundy,Domaine Stephane Magnien Morey-St-Denis 'Vieilles Vignes',4,75cl,2025-2035,Village,2,BH 91 : AG 90 : JR 16.5,"Old-vine village Morey with red and dark fruit, spice, earth and subtle floral notes. Medium-bodied with fine tannins and a fresh, clean finish.",Pinot Noir,13%,Red fruit : Dark fruit : Spice : Earth : Floral : Leather,15-17°C
2020,France,Burgundy,Domaine Sebastien Magnien Meursault 'Les Meix Chavaux',2,75cl,2025-2035,Village,3,BH 91 : JR 17 : AG 90,"Elegant village Meursault with citrus, white peach, butter and subtle mineral. Medium-bodied with fresh acidity and a clean, balanced finish.",Chardonnay,13%,Citrus : White peach : Butter : Mineral : Hazelnut : Floral,10-12°C
2020,Germany,Rheingau,Kunstler Hochheimer Holle Riesling GG,3,750ml,2025-2042,VDP Grosse Lage,4,JS 98 : FWR 96 : FS 94,Enormously concentrated yet graceful dry Riesling with deep peach and apricot nose. Stature to stand alongside Grand Cru white Burgundy. Beautifully balanced finish that pulls you magnetically back to the glass.,Riesling,13%,Peach : Apricot : Grapefruit : Mineral : Floral : Stone fruit,9-11°C
2020,Germany,Mosel,Vollenweider Wolfer Goldgrube Riesling,1,750ml,2028-2045,VDP Grosse Lage,3,JS 95 : MFW 94,"Pristine Mosel Riesling with white peach, citrus, slate and floral notes. Brilliant acidity and a taut, mineral-driven palate of exceptional precision.",Riesling,11.5%,White peach : Citrus : Slate : Floral : Mineral : Herb,8-10°C
2020,Germany,Mosel,Vollenweider Wolfer Goldgrube Riesling 'Aurum',3,750ml,2030-2050,VDP Grosse Lage,4,JS 97 : MFW 96,"A top selection from Goldgrube with remarkable concentration and complexity. Apricot, peach, exotic citrus and profound mineral depth. Laser-like acidity and extraordinary persistence.",Riesling,10.5%,Apricot : Peach : Exotic citrus : Mineral : Slate : Honey,8-10°C
2020,Germany,Mosel,Willi Schaefer Graacher Domprobst Spatlese #10,4,750ml,2028-2055,VDP Grosse Lage,4,JS 97 : MFW 96 : RP 95,"Magical Spatlese from the legendary Domprobst vineyard with apricot, peach, honey, smoke and slate. Breathtaking interplay of sweetness and acidity with incredible length.",Riesling,8%,Apricot : Peach : Honey : Smoke : Slate : Citrus,8-10°C
2020,Italy,Piedmont,"Barbaresco: La Ca Nova, Bric Mentina Montefico",6,750ml,2030-2050,DOCG,3,JS 93 : AG 92,"Expressive Barbaresco from Montefico with red cherry, herbs, rose and spice. Well-balanced with fine tannins and good freshness.",Nebbiolo,14%,Red cherry : Herbs : Rose : Spice : Tar : Earth,18-20°C
2020,Italy,Piedmont,"Barbaresco: La Ca Nova, Montestafano",6,750ml,2030-2050,DOCG,3,JS 93 : AG 92,"Structured Montestefano with dark cherry, tar, leather and spice. Full-bodied with dense tannins and a long, persistent finish.",Nebbiolo,14%,Dark cherry : Tar : Leather : Spice : Dried herb : Mineral,18-20°C
2020,Italy,Piedmont,"Barbaresco: Produttori del Barbaresco, Normale",4,750ml,2028-2045,DOCG,2,AG 92 : JS 92 : RP 91,"Benchmark Barbaresco with red cherry, dried herbs, tar and spice. Vibrant and well-balanced with fine tannins and fresh acidity.",Nebbiolo,14.5%,Red cherry : Dried herbs : Tar : Spice : Rose : Earth,18-20°C
2020,Italy,Piedmont,"Barbaresco: Rizzi, Pajore",5,750ml,2028-2048,DOCG,3,JS 94 : AG 93 : RP 92,"Refined Pajore cru Barbaresco with wild cherry, rose petal, tar and herbs. Silky tannins and lovely perfume with a long, elegant finish.",Nebbiolo,14%,Wild cherry : Rose petal : Tar : Herbs : Mineral : Spice,18-20°C
2020,Italy,Piedmont,"Barolo: Fratelli Alessandria, San Lorenzo di Verduno",2,Magnum,2030-2058,DOCG,4,JS 95 : AG 94 : RP 93,"Charming San Lorenzo cru with bright cherry, rose, spice and subtle earthy tones. Fine-grained tannins and beautiful balance from the Verduno commune.",Nebbiolo,14%,Cherry : Rose : Spice : Earth : Violet : Tar,18-20°C
2020,Italy,Piedmont,"Barolo: Michele Chiarlo, Barolo",1,750ml,2028-2048,DOCG,3,JS 93 : AG 91 : RP 91,"Classic commune Barolo with red cherry, dried flowers, leather and spice. Medium-bodied with firm tannins and good typicity.",Nebbiolo,14%,Red cherry : Dried flowers : Leather : Spice : Tar : Earth,18-20°C
2020,Italy,Piedmont,"Barolo: Trediberri, Berri",6,750ml,2028-2050,DOCG,3,AG 94 : JS 93 : RP 92,"Fresh and modern Barolo from the Berri vineyard in La Morra with bright cherry, wild strawberry, dried flowers and mineral. Elegant with refined tannins.",Nebbiolo,14%,Cherry : Wild strawberry : Dried flowers : Mineral : Spice : Herbs,18-20°C
2020,Spain,Sierra de Gredos,4 Monos Aguja del Fraile,6,750ml,2025-2038,-,3,JS 95 : RP 94 : AG 93,"Thrilling Garnacha from old vines in the Sierra de Gredos with bright red fruit, wild herbs, granite mineral and floral notes. Light-bodied yet intensely flavoured with crystalline purity.",Garnacha,13.5%,Red fruit : Wild herbs : Granite : Floral : Mineral : Spice,14-16°C
2020,Spain,Rioja,Oxer Bastegieta Ahari,6,750ml,2025-2036,-,2,JS 93 : RP 92,"Vibrant Rioja Alavesa with bright red fruit, floral aromas, mineral and gentle spice. Fresh and modern with fine tannins and excellent balance.",Tempranillo,14%,Red fruit : Floral : Mineral : Spice : Cherry : Herbs,16-18°C
2021,France,Burgundy,Domaine Latour-Giraud Bourgogne Blanc,3,75cl,2024-2030,Regional,1,BH 89 : JR 16,"Well-made Bourgogne Blanc with citrus, apple, mineral and a touch of butter. Fresh and clean with good acidity and a crisp finish.",Chardonnay,12.5%,Citrus : Apple : Mineral : Butter : Floral : Pear,10-12°C
2021,France,Burgundy,Domaine Taupenot-Merme Nuits-St-Georges 1er Cru 'Les Pruliers',6,75cl,2029-2046,1er Cru,4,BH 93 : AG 93 : JR 17.5,"Powerful Pruliers with dark fruit, iron, earth and spice. Dense and structured with firm tannins and a long, mineral-driven finish. Built for long ageing.",Pinot Noir,13%,Dark fruit : Iron : Earth : Spice : Mineral : Leather,15-17°C
2021,Germany,Saar,Peter Lauer Kupp Riesling Kabinett #8,1,750ml,2026-2046,VDP Grosse Lage,3,JS 95 : MFW 94,"Delicate Saar Kabinett from the Kupp vineyard with citrus, green apple, slate and white peach. Featherlight with brilliant acidity and crystalline purity.",Riesling,8.5%,Citrus : Green apple : Slate : White peach : Mineral : Floral,8-10°C
2021,Germany,Nahe,Schaefer-Frohlich Felsenberg Riesling GG,6,750ml,2027-2048,VDP Grosse Lage,4,JS 97 : RP 96 : MFW 95,"Monumental dry Riesling from the Felsenberg vineyard with citrus, peach, crushed rock, smoke and herb. Incredibly concentrated with laser-like acidity and extraordinary mineral depth.",Riesling,12.5%,Citrus : Peach : Crushed rock : Smoke : Herb : Mineral,9-11°C
2021,Germany,Nahe,Schaefer-Frohlich Stromberg Riesling GG,6,750ml,2027-2048,VDP Grosse Lage,4,JS 96 : RP 95 : MFW 94,"Powerful Nahe Riesling from volcanic soil with citrus, stone fruit, herb and a smoky mineral intensity. Full-bodied for Riesling with incredible persistence.",Riesling,12.5%,Citrus : Stone fruit : Herb : Smoky mineral : Floral : Spice,9-11°C
2021,Italy,Piedmont,"Barbaresco: Albino Rocca, Ovello Vigneto Loreto",6,750ml,2029-2050,DOCG,4,JS 95 : AG 94 : RP 93,"Outstanding single-vineyard Ovello with wild cherry, rose, tar and dried herbs. Refined tannins and lovely perfume with a long, elegant finish.",Nebbiolo,14.5%,Wild cherry : Rose : Tar : Dried herbs : Spice : Mineral,18-20°C
2021,Italy,Piedmont,"Barbaresco: Giuseppe Cortese, Rabaja",1,Magnum,2031-2058,DOCG,4,AG 94 : JS 93 : RP 93,"Classic Rabaja with perfumed red cherry, rose, tar and dried herbs. Fine-grained tannins and outstanding purity from this revered cru.",Nebbiolo,14.5%,Red cherry : Rose : Tar : Dried herbs : Mineral : Spice,18-20°C
2021,Italy,Piedmont,"Barbaresco: La Ca Nova, Bric Mentina Montefico",6,750ml,2029-2050,DOCG,3,JS 93 : AG 92,"Vibrant Montefico cru with red cherry, wild herbs, rose and spice. Medium-bodied with fine tannins and lovely freshness.",Nebbiolo,14%,Red cherry : Wild herbs : Rose : Spice : Tar : Earth,18-20°C
2021,Italy,Piedmont,"Barbaresco: La Ca Nova, Montestafano",6,750ml,2029-2050,DOCG,3,JS 93 : AG 92,"Rich and structured Montestefano with dark cherry, tar, leather and spice. Dense tannins and a long, persistent finish.",Nebbiolo,14%,Dark cherry : Tar : Leather : Spice : Herbs : Mineral,18-20°C
2021,Italy,Piedmont,"Barbaresco: Produttori del Barbaresco, Normale",6,750ml,2028-2045,DOCG,2,AG 92 : JS 91 : RP 91,"Classic Barbaresco with cherry, dried herbs, tar and spice. Fresh and vibrant with fine tannins and a balanced, medium-bodied palate.",Nebbiolo,14.5%,Cherry : Dried herbs : Tar : Spice : Rose : Earth,18-20°C
2021,Italy,Piedmont,"Barbaresco: Produttori del Barbaresco, Normale",3,Magnum,2031-2058,DOCG,2,AG 92 : JS 91 : RP 91,"Classic Barbaresco with cherry, dried herbs, tar and spice. Fresh and vibrant with fine tannins and a balanced, medium-bodied palate. Magnum format enhances ageing.",Nebbiolo,14.5%,Cherry : Dried herbs : Tar : Spice : Rose : Earth,18-20°C
2021,Italy,Piedmont,"Barolo: Trediberri, Berri",6,750ml,2029-2050,DOCG,3,AG 93 : JS 93 : RP 92,"Modern and fresh Barolo from La Morra with bright cherry, wild strawberry, dried flowers, mineral and herbs. Elegant with refined tannins.",Nebbiolo,14%,Cherry : Wild strawberry : Dried flowers : Mineral : Herbs : Spice,18-20°C
2022,France,Bordeaux,Chateau Branaire-Ducru,6,75cl,2032-2055,4eme Grand Cru Classe,4,JS 95 : NM 94 : RP 93 : JA 93,"Elegant Saint-Julien with dark fruit, violet, graphite and cedar. Polished tannins and a long, refined finish. Classic and age-worthy.",Cabernet Sauvignon : Merlot : Cabernet Franc : Petit Verdot,13.5%,Dark fruit : Violet : Graphite : Cedar : Spice : Tobacco,16-18°C
2022,France,Bordeaux,Chateau Brane-Cantenac,6,75cl,2032-2055,2eme Grand Cru Classe,4,JS 96 : NM 95 : RP 94 : JA 94,"Silky Margaux with floral perfume, dark fruit, graphite and subtle spice. Supremely elegant with refined tannins and exceptional finesse.",Cabernet Sauvignon : Merlot : Cabernet Franc : Carmenere,13.5%,Floral : Dark fruit : Graphite : Spice : Violet : Cedar,16-18°C
2022,France,Bordeaux,Chateau Haut-Bages Liberal,6,75cl,2030-2052,5eme Grand Cru Classe,3,JS 94 : NM 93 : RP 92,"Focused Pauillac with cassis, graphite, cedar and spice. Medium-to-full-bodied with firm tannins and a precise, linear finish.",Cabernet Sauvignon : Merlot,13.5%,Cassis : Graphite : Cedar : Spice : Blackcurrant : Tobacco,16-18°C
2022,France,Bordeaux,Chateau La Gaffeliere,6,75cl,2030-2055,1er Grand Cru Classe B,4,JS 96 : NM 95 : RP 95 : JA 94,"Outstanding Saint-Emilion with plum, dark cherry, spice, graphite and floral notes. Full-bodied with velvety tannins and exceptional complexity.",Merlot : Cabernet Franc : Cabernet Sauvignon,14%,Plum : Dark cherry : Spice : Graphite : Floral : Cedar,16-18°C
2022,France,Bordeaux,Chateau Lagrange,6,75cl,2030-2052,3eme Grand Cru Classe,3,JS 94 : NM 93 : RP 92,"Well-structured Saint-Julien with dark fruit, cedar, tobacco and spice. Firm tannins and a long, classical finish.",Cabernet Sauvignon : Merlot : Petit Verdot,13.5%,Dark fruit : Cedar : Tobacco : Spice : Graphite : Blackcurrant,16-18°C
2022,France,Bordeaux,Chateau Laroque,6,75cl,2030-2050,Grand Cru Classe,3,JS 95 : NM 93 : RP 93,"Ambitious Saint-Emilion with ripe dark fruit, spice, graphite and subtle oak. Full-bodied with polished tannins and impressive depth.",Merlot : Cabernet Franc : Cabernet Sauvignon,14%,Dark fruit : Spice : Graphite : Oak : Plum : Earth,16-18°C
2022,France,Bordeaux,Chateau Tronquoy,6,75cl,2030-2050,-,2,JS 93 : NM 92 : RP 91,"Solid Saint-Estephe with dark fruit, graphite, spice and earthy notes. Medium-to-full-bodied with firm tannins and good concentration.",Merlot : Cabernet Sauvignon : Petit Verdot,14%,Dark fruit : Graphite : Spice : Earth : Cedar : Leather,16-18°C
2022,France,Burgundy,Maison Albert Bichot Chablis 1er Cru 'Les Vaucopins',6,75cl,2027-2038,1er Cru,3,BH 92 : JS 92 : AG 91,"Precise Chablis 1er Cru with citrus, green apple, oyster shell and mineral. Lean and focused with vibrant acidity and a chalky, persistent finish.",Chardonnay,13%,Citrus : Green apple : Oyster shell : Mineral : Chalk : Floral,10-12°C
2022,Germany,Rheingau,Schloss Johannisberg Riesling Grunack Spatlese,2,750ml,2028-2055,VDP Grosse Lage,3,JS 95 : MFW 93,"Elegant Spatlese from the historic Schloss Johannisberg with apricot, peach, honey and a flinty mineral character. Beautifully balanced sweetness and acidity.",Riesling,9%,Apricot : Peach : Honey : Flinty mineral : Citrus : Floral,8-10°C
2022,Spain,Basque Country,Oxer Bastegieta Marko Terlegiz Txakolina,6,750ml,2024-2029,-,1,JS 91,"Refreshing Txakolina with green apple, citrus, light spritz and a saline finish. Crisp and light-bodied, perfect as an aperitif.",Hondarrabi Zuri,11.5%,Green apple : Citrus : Saline : Light spritz : Herb : Mineral,6-8°C
2023,France,Bordeaux,Chateau Tronquoy,3,Magnum,2033-2058,-,3,JS 93 : NM 92 : RP 91,"Concentrated Saint-Estephe with dark fruit, graphite and spice. Firm tannins and good structure. Magnum format enhances ageing potential.",Merlot : Cabernet Sauvignon : Petit Verdot,14%,Dark fruit : Graphite : Spice : Earth : Cedar : Leather,16-18°C
2023,Germany,Saar,Peter Lauer Feils Riesling #13 GG,6,750ml,2028-2048,VDP Grosse Lage,4,JS 96 : MFW 95,"Stunning dry Riesling from the Feils vineyard with citrus, peach, crushed slate and herbal notes. Razor-sharp acidity and extraordinary mineral depth.",Riesling,12%,Citrus : Peach : Crushed slate : Herbal : Mineral : Stone fruit,9-11°C
2023,Germany,Saar,Peter Lauer Schonfels Riesling #11 GG,12,750ml,2028-2048,VDP Grosse Lage,3,JS 95 : MFW 94,"Elegant Saar Riesling with white peach, citrus, slate and floral aromas. Pristine acidity and a taut, mineral-driven palate of exceptional precision.",Riesling,12%,White peach : Citrus : Slate : Floral : Mineral : Herb,9-11°C
2023,Germany,Mosel,Willi Schaefer Graacher Domprobst Kabinett #3,6,750ml,2028-2055,VDP Grosse Lage,3,JS 96 : MFW 95 : RP 94,"Quintessential Mosel Kabinett with citrus, green apple, peach and slate. Featherlight yet intensely flavoured with crystalline purity and brilliant acidity.",Riesling,8%,Citrus : Green apple : Peach : Slate : Mineral : Honey,8-10°C
2023,Germany,Mosel,Willi Schaefer Graacher Himmelreich Kabinett #2,6,750ml,2028-2055,VDP Grosse Lage,3,JS 95 : MFW 94 : RP 93,"Delicate Kabinett from Himmelreich with citrus, peach, floral and mineral notes. Silky and ethereal with beautiful balance between fruit sweetness and bright acidity.",Riesling,8%,Citrus : Peach : Floral : Mineral : Honey : Slate,8-10°C
2023,Spain,Valdeorras,Virgen del Galir Regueiron Godello,6,750ml,2025-2033,-,1,JS 92 : RP 91,"Fresh and mineral Godello with citrus, white peach, almond and a subtle herbal quality. Medium-bodied with bright acidity and a clean, saline finish.",Godello,13%,Citrus : White peach : Almond : Herbal : Saline : Mineral,10-12°C
2024,Germany,Saar,Peter Lauer Kupp Riesling #18 GG,6,750ml,2028-2050,VDP Grosse Lage,4,JS 97 : MFW 95,"Monumental dry Riesling from the revered Kupp vineyard with citrus, stone fruit, crushed slate and herbal notes. Intense and concentrated with stunning mineral depth.",Riesling,12%,Citrus : Stone fruit : Crushed slate : Herbal : Mineral : Floral,9-11°C
2024,Germany,Rheinhessen,Wagner-Stempel Heerkretz Riesling GG,6,750ml,2028-2050,VDP Grosse Lage,4,JS 96 : MFW 94,"Powerful dry Riesling from porphyry soils with citrus, peach, crushed rock and smoky mineral. Full-bodied with laser-like acidity and extraordinary length.",Riesling,12.5%,Citrus : Peach : Crushed rock : Smoky mineral : Herb : Spice,9-11°C
